timestamp,mode,delta
1711257173,1,0.07187276262
1711257174,1,0.0926272009
1711257175,1,0.01840631832
1711257176,1,0.02273114858
1711257177,1,0.04220715958
1711257178,1,0.02191623998
1711257179,1,0.1103018125
1711257180,1,0.04957015432
1711257181,1,0.0747163242
1711257182,1,0.1002947136
1711257183,1,0.04733335324
1711257184,1,0.0727447173
1711257185,1,0.07974315543
1711257186,1,0.005902065661
1711257187,1,0.08551476809
1711257188,1,0.1112128046
1711257189,1,0.07695954669
1711257190,1,0.1104417787
1711257191,1,0.04167359166
1711257192,1,0.08036708099
1711257193,1,0.01200747786
1711257194,1,0.007350073356
1711257195,1,0.1052158507
1711257196,1,0.07482255803
1711257197,1,0.002746159449
1711257198,1,0.06516795074
1711257199,1,0.06681111346
1711257200,1,0.1188151722
1711257201,1,0.01869491858
1711257202,1,0.07248087858
1711257203,1,0.07482628142
1711257204,1,0.1168964482
1711257205,1,0.0994342519
1711257206,1,0.08143979446
1711257207,1,0.1110249274
1711257208,1,0.02239928926
1711257209,1,0.05818167324
1711257210,1,0.1170578425
1711257211,1,0.008518854038
1711257212,1,0.1079713899
1711257213,1,0.07049425199
1711257214,1,0.1241890705
1711257215,1,0.01720936357
1711257216,1,0.04632518341
1711257217,1,0.1150664159
1711257218,1,0.1233385723
1711257219,1,0.02998815227
1711257220,1,0.04023707481
1711257221,1,0.0388893739
1711257222,1,0.04022790804
1711257223,1,0.1167810115
1711257224,1,0.103743762
1711257225,1,0.06261767419
1711257226,1,0.0623453459
1711257227,1,0.09811241664
1711257228,1,0.04142969582
1711257229,1,0.07384871927
1711257230,1,0.03354733429
1711257231,1,0.02524493993
1711257232,1,0.07467730175
1711257233,1,0.07616268728
1711257234,1,0.07514583953
1711257235,1,0.1201047412
1711257236,1,0.04776038789
1711257237,1,0.04519316661
1711257238,1,0.06881554647
1711257239,1,0.09014278381
1711257240,1,0.0877011139
1711257241,1,0.06470287214
1711257242,1,0.1030855864
1711257243,1,0.0210012358
1711257244,1,0.1148823397
1711257245,1,0.1006242118
1711257246,1,0.09614240765
1711257247,1,0.01335539877
1711257248,1,0.08150953889
1711257249,1,0.1192910668
1711257250,1,0.0631635493
1711257251,1,0.1195838349
1711257252,1,0.002150400291
1711257253,1,0.09263592131
1711257254,1,0.02142646409
1711257255,1,0.07598273013
1711257256,1,0.1097451773
1711257257,1,0.007955737164
1711257258,1,0.07099224324
1711257259,1,0.0670853767
1711257260,1,0.0716771694
1711257261,1,0.06296014115
1711257262,1,0.002850997161
1711257263,1,0.05027352143
1711257264,1,0.008720292729
1711257265,1,0.02820723999
1711257266,1,0.1200337848
1711257267,1,0.01127463468
1711257268,1,0.07493942048
1711257269,1,0.04870513407
1711257270,1,0.0603454443
1711257271,1,0.03932758407
1711257272,1,0.07890925624
1711257273,1,0.05941135928
1711257274,1,0.03205329325
1711257275,1,0.05476895176
1711257276,1,0.05593879966
1711257277,1,0.005597796117
1711257278,1,0.01607862466
1711257279,1,0.01654320453
1711257280,1,0.0873409535
1711257281,1,0.06356523776
1711257282,1,0.02498104456
1711257283,1,0.1076721214
1711257284,1,0.006170676853
1711257285,1,0.04998959389
1711257286,1,0.06530017017
1711257287,1,0.1180324224
1711257288,1,0.05427006626
1711257289,1,0.06426087363
1711257290,1,0.02562478614
1711257291,1,0.01588519694
1711257292,1,0.06290507792
1711257293,1,0.002536397569
1711257294,1,0.05809657598
1711257295,1,0.0224767735
1711257296,1,0.0687561297
1711257297,1,0.03987132298
1711257298,1,0.01092360885
1711257299,1,0.002687843533
1711257300,1,0.07353359949
1711257301,1,0.1227123684
1711257302,1,0.1038782517
1711257303,1,0.03414618398
1711257304,1,0.03402928204
1711257305,1,0.07324480198
1711257306,1,0.06768479539
1711257307,1,0.1174379534
1711257308,1,0.00498619337
1711257309,1,0.07956803029
1711257310,1,0.01666401429
1711257311,1,0.01605368484
1711257312,1,0.0247715696
1711257313,1,0.006441783251
1711257314,1,0.0169950492
1711257315,1,0.04148709977
1711257316,1,0.08347176591
1711257317,1,0.1103927087
1711257318,1,0.02547939942
1711257319,1,0.101468565
1711257320,1,0.0946927901
1711257321,1,0.005300307823
1711257322,1,0.1057474953
1711257323,1,0.007659566384
1711257324,1,0.0810464504
1711257325,1,0.1001914908
1711257326,1,0.08043521994
1711257327,1,0.01826065724
1711257328,1,0.02902970075
1711257329,1,0.09486462822
1711257330,1,0.04897589754
1711257331,1,0.1208925399
1711257332,1,0.07176349689
1711257333,1,0.09613684185
1711257334,1,0.1163027567
1711257335,1,0.016798373
1711257336,2,0.06784755828
1711257337,2,0.00796234371
1711257338,2,0.1129374248
1711257339,2,0.02388517877
1711257340,2,0.01140868136
1711257341,2,0.05240505148
1711257342,2,0.04165201152
1711257343,2,0.04837318778
1711257344,2,0.03227285381
1711257345,2,0.09546520008
1711257346,2,0.08513547856
1711257347,2,0.007854162001
1711257348,2,0.02607510503
1711257349,2,0.007057675607
1711257350,2,0.002869400609
1711257351,2,0.122373215
1711257352,2,0.06703618436
1711257353,2,0.0780187065
1711257354,2,0.008723878894
1711257355,2,0.07474343206
1711257356,2,0.0760813443
1711257357,2,0.04887810556
1711257358,2,0.003621319492
1711257359,2,0.05167848765
1711257360,2,0.1189541325
1711257361,2,0.07527569065
1711257362,2,0.08998389466
1711257363,2,0.1134857253
1711257364,2,0.06798680833
1711257365,2,0.08832343179
1711257366,2,0.1165799791
1711257367,2,0.07700066976
1711257368,2,0.05222909677
1711257369,2,0.004919014619
1711257370,2,0.09381548021
1711257371,2,0.009163591811
1711257372,2,0.01870824881
1711257373,2,0.1030017616
1711257374,2,0.05547790571
1711257375,2,0.01713980854
1711257376,2,0.08269593973
1711257377,2,0.1000085455
1711257378,2,0.07343415718
1711257379,2,0.03516755476
1711257380,2,0.03199129469
1711257381,2,0.0593351467
1711257382,2,0.03180752433
1711257383,2,0.1233807982
1711257384,2,0.1193944046
1711257385,2,0.07443757288
1711257386,2,0.06171489804
1711257387,2,0.03469904192
1711257388,2,0.003740953831
1711257389,2,0.1183182832
1711257390,2,0.1017322411
1711257391,2,0.09750220154
1711257392,2,0.008096157396
1711257393,2,0.1225338084
1711257394,2,0.007874488871
1711257395,2,0.05421577178
1711257396,2,0.003964945741
1711257397,2,0.01453310991
1711257398,2,0.115025406
1711257399,2,0.01412010863
1711257400,2,0.07766541121
1711257401,2,0.09509015173
1711257402,2,0.02443371009
1711257403,2,0.1226672289
1711257404,2,0.06433381777
1711257405,2,0.02882950127
1711257406,2,0.03410356625
1711257407,2,0.04433965563
1711257408,2,0.04638198984
1711257409,2,0.100360341
1711257410,2,0.04065077822
1711257411,2,0.02661791317
1711257412,2,0.006611711642
1711257413,2,0.006332190468
1711257414,2,0.04747045162
1711257415,2,0.03393690169
1711257416,2,0.001605782049
1711257417,2,0.0598046746
1711257418,2,0.1148674516
1711257419,2,0.08760598085
1711257420,2,0.1034617038
1711257421,2,0.0276840768
1711257422,2,0.05813805111
1711257423,2,0.02054366118
1711257424,2,0.07241145529
1711257425,2,0.02962096128
1711257426,2,0.06445918457
1711257427,2,0.1043349691
1711257428,2,0.01937964526
1711257429,2,0.122686081
1711257430,2,0.0338412155
1711257431,2,0.05555803053
1711257432,2,0.07107236549
1711257433,2,0.005345808523
1711257434,2,0.1033307823
1711257435,2,0.02854623716
1711257436,2,0.01076034687
1711257437,2,0.07174370783
1711257438,2,0.1121121799
1711257439,2,0.102753166
1711257440,2,0.03552254106
1711257441,2,0.08306149258
1711257442,2,0.08314890062
1711257443,2,0.09966980837
1711257444,2,0.02035010029
1711257445,2,0.1217804478
1711257446,2,0.009531417377
1711257447,2,0.06680706621
1711257448,2,0.01117567539
1711257449,2,0.006993460925
1711257450,2,0.09075285014
1711257451,2,0.06960120705
1711257452,2,0.08258936081
1711257453,2,0.09952822089
1711257454,2,0.06572123315
1711257455,2,0.03622594179
1711257456,2,0.06673001041
1711257457,2,0.03953371364
1711257458,2,0.06043508067
1711257459,2,0.0552020445
1711257460,2,0.1125995664
1711257461,2,0.06135496719
1711257462,2,0.03389850904
1711257463,2,0.1063838705
1711257464,2,0.06983802606
1711257465,2,0.1209751742
1711257466,2,0.09103277137
1711257467,2,0.08737190349
1711257468,2,0.05781792965
1711257469,2,0.02503958069
1711257470,2,0.01105296977
1711257471,2,0.05465137051
1711257472,2,0.02976986012
1711257473,2,0.06749221094
1711257474,2,0.06402190945
1711257475,2,0.08178927126
1711257476,2,0.04753418326
1711257477,2,0.1101543033
1711257478,2,0.05706743615
1711257479,2,0.04583557257
1711257480,2,0.09544932202
1711257481,2,0.08715245805
1711257482,2,0.06505529402
1711257483,2,0.112669102
1711257484,2,0.0818331242
1711257485,2,0.06996479503
1711257486,2,0.08334642764
1711257487,2,0.07740461193
